vid,tmstmp,lat,lon,hdg,pid,rt,des,pdist,dly,spd,tatripid,origtatripno,tablockid,zone,mode,psgld,stst,stsd
1902,20230911 16:31:04,29.6467026442064,-82.32233543358545,359,476,1,Butler Plaza Transfer Station,0,False,11,232,822308,10011,,0,EMPTY,59340,2023-09-11
1005,20230911 16:31:16,29.629533228215433,-82.36780247878069,154,476,1,Butler Plaza Transfer Station,20542,False,0,230,822307,10012,,0,HALF_EMPTY,57720,2023-09-11
1015,20230911 16:31:12,29.638089970504566,-82.34621365294161,68,477,1,Rosa Parks/Downtown,16825,False,0,231,822342,10013,,0,EMPTY,58380,2023-09-11
2109,20230911 16:31:15,29.644934634889303,-82.2946660008774,54,492,3,N Main Post Office,17701,False,11,272,822879,10031,,0,EMPTY,57600,2023-09-11
1810,20230911 16:31:20,29.652120000322267,-82.35181666330288,270,323,5,Oaks Mall,11829,False,10,334,821397,10051,,0,EMPTY,58320,2023-09-11
1502,20230911 16:31:18,29.65936012720882,-82.40119222906834,99,335,5,Rosa Parks/Downtown,3033,False,25,335,821354,10052,,0,EMPTY,59160,2023-09-11
2004,20230911 16:31:17,29.648512497790676,-82.32236166318052,179,335,5,Rosa Parks/Downtown,30234,False,0,333,821353,10053,,0,EMPTY,57720,2023-09-11
2110,20230911 16:31:16,29.710495783151707,-82.35616042679493,343,354,6,Rosa Parks/Downtown,270,False,22,388,822279,10061,,0,EMPTY,59280,2023-09-11
1811,20230911 16:31:10,29.643420001549874,-82.27243671406416,270,353,7,Rosa Parks/Downtown,656,False,9,416,820875,10071,,0,EMPTY,59400,2023-09-11
1808,20230911 16:31:17,29.652652151526496,-82.3393503634926,183,328,8,UF Health,36163,False,0,449,820895,10082,,0,EMPTY,56820,2023-09-11
1805,20230911 16:31:19,29.701617654168196,-82.36760492599313,62,447,8,PineRidge/Walmart,38711,False,0,450,822359,10081,,0,EMPTY,57000,2023-09-11
706,20230911 16:31:17,29.63846560977709,-82.35334895889453,260,495,9,Hunters Run,4247,False,23,538,822931,10093,,0,HALF_EMPTY,59220,2023-09-11
705,20230911 16:31:06,29.612789,-82.359331,278,497,9,Reitz Union/UF Campus,0,False,0,539,822987,10096,,0,EMPTY,59640,2023-09-11
1102,20230911 16:31:08,29.63401463680869,-82.35883132829886,359,497,9,Reitz Union/UF Campus,12133,False,15,537,822986,10091,,0,EMPTY,58860,2023-09-11
1206,20230911 16:31:12,29.654315881316474,-82.33922582226704,0,489,10,Santa Fe,8631,False,24,603,820916,10101,,0,EMPTY,58800,2023-09-11
1204,20230911 16:31:21,29.66755864828228,-82.37473609742236,118,496,10,Rosa Parks/Downtown,20610,False,32,602,820935,10102,,0,EMPTY,58500,2023-09-11
1809,20230911 16:31:14,29.642569831127958,-82.27246,0,500685,11,Rosa Parks/Downtown,568,False,21,632,820964,10111,,0,EMPTY,59400,2023-09-11
1006,20230911 16:31:12,29.62558,-82.38819166666666,13,330,12,Reitz Union/UF Campus,203,False,0,725,821855,10124,,0,EMPTY,59640,2023-09-11
1013,20230911 16:31:12,29.645590000000002,-82.34676833333333,233,480,12,Butler Plaza Transfer Station,0,False,0,724,821821,10123,,0,EMPTY,59580,2023-09-11
2111,20230911 16:31:12,29.64515666666667,-82.34696000000001,357,480,12,Butler Plaza Transfer Station,6,True,0,722,821794,10122,,0,HALF_EMPTY,58680,2023-09-11
1001,20230911 16:31:13,29.634802691608737,-82.33944183575989,179,70,13,Cottage Grove / SW 13th Street,6946,False,30,844,822410,10132,,0,EMPTY,58500,2023-09-11
1606,20230911 16:31:16,29.626438790147255,-82.3392618384167,1,460,13,Beaty Towers,7922,False,40,845,822460,10131,,0,EMPTY,58860,2023-09-11
1105,20230911 16:31:18,29.688518062182723,-82.3252025836241,270,66,15,NW 13th St/ NW 23rd Ave,28182,False,20,917,820987,10152,,0,EMPTY,57900,2023-09-11
